lemmatized,Sentiment
0,review give 24 hrs l find amazing 10 day usage l bug l check return window pass 3 rd aug l regret choose plus samsung soon l exchange throw mobile bug fix plus purchase frustrate mobile,1
1,like tell win t give technical review like ytube video going to honest review general phone user like phone price 20 k think research lot buy confuse buy iphone 12 nord 2 know price difference win t 50 k buy phone iphone honestly man think 30 k 1 nord 2 astonishing don t need plus 9 high range phone plus extra buck pocket u wanna spend tell u pro con phone honestly 3 4 day vigorous usage pro 1 ultra premium feature price range 30 k pretty match feature higer range plus model 2 display great 3 screen refresh rate actually feel fast 0 hz 4 heating issue phone charger till 5 give cover phone pretty good actually bump camera portion actually save phone direct fall rough floor screen scratch cover s test guysand actually feel elegant need hectic work search cover buy phone infact scratch guard screen handy don t think u need temper guard u handle ur phone anyways s choice m going to scratch guard week month n let go week feel perform outstanding will not tell u feature phone u read em specification tell x factor nord 2 decide buy phone 1 charge time like whtt phone shoot 0 85 30 min upto 100 40 45 min warp charging world 5 w charger see phone 2 stereo speaker play song shocked hear yes actually feel give 3 d feel sound actually sound come speaker right speaker screen mean call purpose phone phone rock 3 camera perform outstanding low light dark dark sorrounding check go terrace click picture dark 4 phone buid feel premium con win t con bcz don t feel con u ignore astonishing feature phone t away mention con 1 provide little high battery capacity like samsung phone coz high resolution display refresh rate increase weight phone pretty understandable battery 12 14 hrs get continuous usage like song attend meeting team netflix etc give fast charge u will not feel 2 earphone jack con u actually issue phone get till guy find prolonged usage honestly wanna buy phone 50 k not buy budget 25 k stretch lill buy nord 2,2
2,receive unit 4 hr ago think 1 feel sturdy premium hand 2 90 hz look absolutely fine win t miss 120 hz 3 normal usage phone heat 4 charge 20 100 15 20 min mind blow away 5 camera didn t use sample image attach take primary rear camera far look good 6 ui clean lot permission accept use basic thing like camera search drawer clearly say policy share datum believe initial impression update accordingly future,2
3,get oneplus nord 2 5 g phone deliver yesterday set phone get update update phone bug need fix oneplus team finding 1 charge time phone 21 100 take auround 16 minute good time battery drain fast 2 hour battery 31 heavy user phone battery drain fast 2 instal app update app error message state storage need remove unused app purchase 256 gb internal storage 217 gb free storage 3 flipkart app notice 12 second app close automatically need reopen 12 second annoying think buy phone,1
4,7 28 receive yesterday impression look feel great wait review not try camera move pixel 5 purely sake google provide dual app esim option thing go south 1 mobile heat bit datum transfer plus switch app 2 vlc gallery keep crash video stop middle close gallery crash scroll picture 3 thing hard find sure camera need permission let open 4 come update today morning hit app cloner fb insta wa mobile able reinstall pick like half bake product lack testing roll market test user product overall okay plus device bit let start wait soon issue sort update 7 31 app cloner show app app continue crash camera whatsapp youtuebe spotify shuttle ruin android auto sure list long one try today s pathetic,0
5,buy plus phone time disappointed,0
6,bad experience moment receive mobile hang slow initial startup device work properly restart time automatically app clone work app mobile mention app clone doesn t show clone normal whatsapp chat drive backup work old whatsapp backup go bad bad experience oneplus,0
7,heating issue average usage battery drain fast,1
8,ridiculous experience phone come dent didn t expect amazon seller,0
9,bad phone heating reason not play game want return battery drain fast backup 2 3 hour plz amazon help 30000 waste s 24 hour old realme narzo well,0
10,hi purchase op nord 2 upgrade year old realme x experience nord 2 bad display bad quality compare smartphone 30 k range realme x display look good nord 2 major highlight camera poor quality near flagship sensor op advertising daylight pic pathetic system update app clone function work able use 2 nd s app account recording function work main requirement work flawless realme x think oneplus fool purchase regret beware op nord 2,0
