lemmatized,Sentiment
review give 24 hrs l find amazing 10 day usage l bug l check return window pass 3 rd aug l regret choose plus samsung soon l exchange throw mobile bug fix plus purchase frustrate mobile,Neutral
like tell win t give technical review like ytube video going to honest review general phone user like phone price 20 k think research lot buy confuse buy iphone 12 nord 2 know price difference win t 50 k buy phone iphone honestly man think 30 k 1 nord 2 astonishing don t need plus 9 high range phone plus extra buck pocket u wanna spend tell u pro con phone honestly 3 4 day vigorous usage pro 1 ultra premium feature price range 30 k pretty match feature higer range plus model 2 display great 3 screen refresh rate actually feel fast 0 hz 4 heating issue phone charger till 5 give cover phone pretty good actually bump camera portion actually save phone direct fall rough floor screen scratch cover s test guysand actually feel elegant need hectic work search cover buy phone infact scratch guard screen handy don t think u need temper guard u handle ur phone anyways s choice m going to scratch guard week month n let go week feel perform outstanding will not tell u feature phone u read em specification tell x factor nord 2 decide buy phone 1 charge time like whtt phone shoot 0 85 30 min upto 100 40 45 min warp charging world 5 w charger see phone 2 stereo speaker play song shocked hear yes actually feel give 3 d feel sound actually sound come speaker right speaker screen mean call purpose phone phone rock 3 camera perform outstanding low light dark dark sorrounding check go terrace click picture dark 4 phone buid feel premium con win t con bcz don t feel con u ignore astonishing feature phone t away mention con 1 provide little high battery capacity like samsung phone coz high resolution display refresh rate increase weight phone pretty understandable battery 12 14 hrs get continuous usage like song attend meeting team netflix etc give fast charge u will not feel 2 earphone jack con u actually issue phone get till guy find prolonged usage honestly wanna buy phone 50 k not buy budget 25 k stretch lill buy nord 2,Positive
receive unit 4 hr ago think 1 feel sturdy premium hand 2 90 hz look absolutely fine win t miss 120 hz 3 normal usage phone heat 4 charge 20 100 15 20 min mind blow away 5 camera didn t use sample image attach take primary rear camera far look good 6 ui clean lot permission accept use basic thing like camera search drawer clearly say policy share datum believe initial impression update accordingly future,Positive
get oneplus nord 2 5 g phone deliver yesterday set phone get update update phone bug need fix oneplus team finding 1 charge time phone 21 100 take auround 16 minute good time battery drain fast 2 hour battery 31 heavy user phone battery drain fast 2 instal app update app error message state storage need remove unused app purchase 256 gb internal storage 217 gb free storage 3 flipkart app notice 12 second app close automatically need reopen 12 second annoying think buy phone,Neutral
7 28 receive yesterday impression look feel great wait review not try camera move pixel 5 purely sake google provide dual app esim option thing go south 1 mobile heat bit datum transfer plus switch app 2 vlc gallery keep crash video stop middle close gallery crash scroll picture 3 thing hard find sure camera need permission let open 4 come update today morning hit app cloner fb insta wa mobile able reinstall pick like half bake product lack testing roll market test user product overall okay plus device bit let start wait soon issue sort update 7 31 app cloner show app app continue crash camera whatsapp youtuebe spotify shuttle ruin android auto sure list long one try today s pathetic,Negative
buy plus phone time disappointed,Negative
bad experience moment receive mobile hang slow initial startup device work properly restart time automatically app clone work app mobile mention app clone doesn t show clone normal whatsapp chat drive backup work old whatsapp backup go bad bad experience oneplus,Negative
heating issue average usage battery drain fast,Neutral
ridiculous experience phone come dent didn t expect amazon seller,Negative
bad phone heating reason not play game want return battery drain fast backup 2 3 hour plz amazon help 30000 waste s 24 hour old realme narzo well,Negative
hi purchase op nord 2 upgrade year old realme x experience nord 2 bad display bad quality compare smartphone 30 k range realme x display look good nord 2 major highlight camera poor quality near flagship sensor op advertising daylight pic pathetic system update app clone function work able use 2 nd s app account recording function work main requirement work flawless realme x think oneplus fool purchase regret beware op nord 2,Negative
nord 2 software bug clone app work update one instal lose datum fix expect build sure available dual app think twice need carry old phone dual app work oneplus care support clue extended warranty pay extended warranty 4 day pass plus support clue photo access gallery slow have hundred photo gallery picture time load scroll previous 2 year old phone fare way well software optimization lack,Neutral
write review mobile 14 day know confusion person go spend big money mobile go phase willl try honest review oneplus nord 2 cover aspect sure read review easily decision 1 camerarear camera 5 5 camera 4 5 awesome rear camera 50 mp main perform super attach image reference focus fast dynamic range plus point camera good buy note good s good price range user complain colour os code merge oxygen os feel camera quality improve camera feature organized compare oxygen os 2 software experience 5 5 s awesome experience come miui redmi note 4 clean ui bloatware ad 3 performance 5 5 application work smoothly encounter lag issue till didn t play havey game aware gaming performance phone makkhan ki tarah chalta hy 4 charge time 5 5 super fast charge 5 face recognition speed 5 5 s fast similar charge speed 6 fingerprint sensor speed 4 57 battery life 4 5 s 6 7 hour screen time good charging 1 5 day 8 carrier aggregation network quality 5 59 look 5 5 hold hand s look primium mobile grey colour come matt finish 10 ram management 3 5 bit disappointing oneplus nord 2 think improve software update need worry 11 heating issueye mobile heating bit use continuesoly long time classical oneplus issue solve software update 12 haptic feedback 5 513 display 5 514 speaker 5 5 dual speaker high loudness make awesome conclusion normal user look balance phone aspect oneplus nord 2 price range buy don t forget thank later,Positive
phone overall great os lot bug like 1 day cloner app instal whatsapp suddenly gets remove late update show app instal cloner applicable expect oneplus software sort target premium range user,Positive
believe plus buy camera clarity mark light enhancement photo dull worth,Neutral
refresh rate awesome camera fabulous gaming excellent 65 watt charger charge 38 minute display soothe color wow like wow dealin short good android launch 2021,Positive
2 day face problem restart automatically recovery mode bug oxygen os able clone app inspite have require app happy spend money 3 rd class category phone,Neutral
battery drain fast superb charge speed 0 100 33 minsdisplay goodback camera thump upfront camera weekbrightness okay,Positive
splendid style,Neutral
excited receive phone not know phone switch 4 hrs usage start poor quality oneplus new series day oneplus work customer,Neutral
plus 5 t currently order plus nord 2 upgrade exist phone trust display nord 2 look like cheap smartphone colour plus 5 t way nice well plus lose credibility brand value look like cheap smartphone nord 2 don t premium feel,Positive
deliver yesterday initial impression good enrol finger print s issue start phone wasn t able read fingerprint matter time try didn t work plus store near place take phone say calibrate sensor haven t face issue update go store issue persist technician come verify replacement way hopefully win t face issue,Positive
display good camera average speaker quality everage gamer t measure performance definitely give bad battery performance give 3 4 hour sreen time charge battery 30 35 mmonute overall disappointed,Negative
phone s good don t know app getting close automatically little disappointed behavior happen randomly don t expect kind nonsense 30 k device,Neutral
tl dr classy look feel 12 gb version smooth butter picture detailed true life charge 90 30 minute 65 w dash charger 3 5 mm headphone jack free basic phone case box receive today day order phone initial look impression plus ve add experience week like 1 transition new phone super easy thank plus clone phone app 2 screen finger print sensor face recognition work like flash 3 great haptic feedback type use gesture notification feel s great user experience 2 90 hz refresh rate 12 gb ram make phone ultra smooth transition seamless oneplus launcher pretty intuitive gesture control cool 3 wish option disable uninstall inbuilt bloatware app like google message play movie etc directly phone s app manager enable developer mode uninstall app manually connect phone laptop adb command 4 grey model have matte finish blue haze glossy finish phone good term grip fingerprint magnet 5 main camera good true life detailed picture portrait professional macro great need check perform low light ve add photo new shoot pine plant building facade sure upload high quality detailing superb 6 battery performance optimize dash charger charge battery 0 90 30 minute impressive charge speed phone last approx 1 day 23 hour singe charge light usage heavy use like watch couple hour movie call social medium screen time last 12 13 hour 7 use google play book read epub s going to great experience read book eye comfort mode long duration 8 free phone case s provide pretty decent s got raise ridge camera screen use case choice available market plus grip good 9 find slider useful switch silent vibration ring thoughtfully well 1 s good people power decision oneplus keep easy use 3 5 mm headphone jack s big deal add convenience need extra device track charge regularly plus frequently charge port insert adapter usb c 3 5 mm earphone jack problematic t fast charge listen audio case bluetooth earphone fine 3 5 mm jack practical audio interface ease use longevity convenience s con ve get bt earphone love wire earphone sound quality ease use 2 isn t secure folder samsung user know benefit 3 oneplus gallery app fine t add rich text customization edit mode image phone 4 battery provide 6000 mah battery ask samsung provide thank super fast fast charging 30 40 min win t feel remember dash charger safe,Positive
excited plus nord 2 5 g phone hand user plus early move redmi k 20 pro 1 nord 2 got disappoint performance new phone oneplus well battery backup good camera interface redmi k 20 pro 2 year use oxygen os getting mix color os pathetic lot lag application especially get irritated auto rotate option enable auto rotate watch tube video phone notice dialer gets rotate turn normal screen keep phone straight restart phone dialer straight rotate issue note camera focus try scan bar code whatsapp web take time capture read barcode try close shot picture camera able focus fast stay blur long time adjust self clear picture phone light weight easy handle feel heat enable hotspot laptop connection early plus user hope oneplus come update solve issue face user,Positive
get damage product need phone urgently wait,Negative
phone hang extremely poor sound qualitypoor camera qualityi request replacement return get response customer care turn technical inspection shall use oneplus phone,Neutral
