,review
0,"  Very disappointed with the overall performance from Samsung
"
1,"  Camera quality is low
"
2,"  Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying
"
3,"  1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.
"
4,"  Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE
"
5,"  I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.
"
6,"  This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.
"
7,"  मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे
"
8,"  The phone hangs a lot and is very slow. I received a replacement which continues to hang
"
9,"  Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.
"
10,"  Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.
"
11,"  No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy
"
12,"  Don't received  handset ejection  pin  and manual.
"
13,"  very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon
"
14,"  Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.
"
15,"  Hitting issue
"
16,"  Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.
"
17,"  Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.
"
18,"  PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK
"
19,"  This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.
"
20,"  Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.
"
21,"                    The media could not be loaded.
"
22,"                
"
23,"   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category
"
24,"  Self camera is just like 2 mega pixels.
"
25,"  Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..
"
26,"  The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.
"
